City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,olovyannaya,50.95,115.5667,24.97,17,74,5.96,RU,1715060778
125,gadzhiyevo,69.2551,33.3362,-0.92,67,97,10.2,RU,1715060779
126,shalqar,47.8333,59.6,17.19,29,98,3.72,KZ,1715060780
127,papao,-17.75,-149.55,28.82,84,69,10.24,PF,1715060780
128,la junta,37.985,-103.5438,13.16,22,0,11.83,US,1715060781
129,cine,37.6117,28.0614,12.67,39,0,0.75,TR,1715060782
130,al burayqah,30.4062,19.5739,20.01,56,0,1.61,LY,1715060782
131,st. john's,47.5649,-52.7093,3.56,92,100,7.72,CA,1715060587
132,saldanha,-33.0117,17.9442,15.03,87,91,5.4,ZA,1715060784
133,farasan,16.7022,42.1183,30.11,68,27,3.59,SA,1715060784
134,haiku-pauwela,20.9219,-156.3051,20.05,79,40,9.26,US,1715060785
135,palikir - national government center,6.9248,158.1611,27.41,94,100,7.2,FM,1715060786
136,aweil,8.7682,27.4002,34.64,30,72,4.16,SS,1715060786
137,flying fish cove,-10.4217,105.6791,27.82,89,100,4.63,CX,1715060787
138,faya-largeau,17.9257,19.1043,31.94,15,0,9.81,TD,1715060788
139,pisco,-13.7,-76.2167,19.03,88,62,1.03,PE,1715060788
140,afaahiti,-17.75,-149.2833,27.93,85,78,9.5,PF,1715060789
141,nuuk,64.1835,-51.7216,-3.66,68,6,2.06,GL,1715060651
142,tubarjal,30.4999,38.216,17.86,44,0,4.67,SA,1715060790
143,siocon,7.7061,122.1353,30.49,66,42,2.5,PH,1715060791
144,cestos city,5.46,-9.5828,26.15,86,67,0.94,LR,1715060792
145,northam,51.0333,-4.2167,11.16,95,9,0.98,GB,1715060792
146,lazaro cardenas,17.9583,-102.2,23.92,77,93,0.96,MX,1715060793
147,antigonish,45.6169,-61.9986,8.49,97,97,0.45,CA,1715060793
148,badger,64.8,-147.5333,2.31,89,100,0.0,US,1715060794
149,anna regina,7.2644,-58.5077,26.24,86,100,3.05,GY,1715060795
150,bengkulu,-3.8004,102.2655,27.5,81,100,1.56,ID,1715060795
151,rio grande,-32.035,-52.0986,20.18,97,76,4.26,BR,1715060613
152,maues,-3.3836,-57.7186,23.64,99,82,0.78,BR,1715060797
153,chinde,26.8418,88.0763,25.07,42,64,3.6,NP,1715060797
154,port elizabeth,-33.918,25.5701,17.95,99,2,2.06,ZA,1715060798
155,celestun,20.8667,-90.4,29.3,61,60,6.12,MX,1715060799
156,yuzhno-kurilsk,44.0306,145.8556,5.76,99,100,2.3,RU,1715060799
157,fale old settlement,-9.3852,-171.2468,29.96,73,15,4.04,TK,1715060800
158,douz,33.4663,9.0203,26.2,17,100,3.63,TN,1715060801
159,the bottom,17.6259,-63.2492,24.31,80,68,5.65,BQ,1715060801
160,neiafu,-18.65,-173.9833,27.38,94,75,6.17,TO,1715060802
